feature,mean_abs_shap
cp,0.5483797934742286
ca,0.5169471142120714
oldpeak,0.5135492095988486
thalach,0.4295680406926621
thal,0.25567181731915467
exang,0.22981876130025083
trestbps,0.17674354473039383
gender,0.17073171048117905
slope,0.13105766948746164
restecg,0.08018245136177543
chol,0.06648787886149894
age,0.025299718617445417
fbs,0.0005667946186504658
